ID,File_Name,Total_Duration,Teacher_Duration,Student_Duration,Percent_Time_Teacher,Average_Speaker_Duration,Average_Teacher_Duration,Average_Student_Duration,Total_Word_Count,Teacher_Word_Count,Student_Word_Count,Teacher_Percent_Words,Total_Word_Rate,Teacher_Word_Rate,Student_Word_Rate,Total_Speaker_Line_Count,Teacher_Line_Count,Student_Line_Count,number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,Mood,MFCC_1_Mean,MFCC_2_Mean,MFCC_3_Mean,MFCC_4_Mean,MFCC_5_Mean,MFCC_6_Mean,MFCC_7_Mean,MFCC_8_Mean,MFCC_9_Mean,MFCC_10_Mean,MFCC_11_Mean,MFCC_12_Mean,MFCC_13_Mean,MFCC_1_Var,MFCC_2_Var,MFCC_3_Var,MFCC_4_Var,MFCC_5_Var,MFCC_6_Var,MFCC_7_Var,MFCC_8_Var,MFCC_9_Var,MFCC_10_Var,MFCC_11_Var,MFCC_12_Var,MFCC_13_Var,MFCC_1_Skew,MFCC_2_Skew,MFCC_3_Skew,MFCC_4_Skew,MFCC_5_Skew,MFCC_6_Skew,MFCC_7_Skew,MFCC_8_Skew,MFCC_9_Skew,MFCC_10_Skew,MFCC_11_Skew,MFCC_12_Skew,MFCC_13_Skew,MFCC_1_Kurtosis,MFCC_2_Kurtosis,MFCC_3_Kurtosis,MFCC_4_Kurtosis,MFCC_5_Kurtosis,MFCC_6_Kurtosis,MFCC_7_Kurtosis,MFCC_8_Kurtosis,MFCC_9_Kurtosis,MFCC_10_Kurtosis,MFCC_11_Kurtosis,MFCC_12_Kurtosis,MFCC_13_Kurtosis,RMS_Mean,RMS_Max,RMS_Min,RMS_Std,Centroid_Mean,Centroid_Max,Centroid_Min,Centroid_Std,Bandwidth_Mean,Bandwidth_Max,Bandwidth_Min,Bandwidth_Std,Flatness_Mean,Flatness_Max,Flatness_Min,Flatness_Std,Zero_Crossing_Rate_Mean,Zero_Crossing_Rate_Max,Zero_Crossing_Rate_Min,Zero_Crossing_Rate_Std,Loudness_Mean,Loudness_Max,Loudness_Min,Loudness_Std
360,360_3.16.22_Chunk_4,78.87065759637188,45.0,33.870657596371885,0.5705543908393891,5.633618399740849,6.428571428571429,4.838665370910269,173,107,66,0.6184971098265896,2.193464658115874,2.3777777777777778,1.9485892711769996,14,7,7,109,21,2,5,22.2,45,0.5,150.49,49.6,139,77,423,119,172,speaking passionately,11.136076688278532,6.032201251775592,-9.976128601574612,4.439195210126883,-6.465364558366975,6.658588269364773,-2.5327388443061527,-8.526235379809494,-7.50918180731546,-7.192370937802431,0.46105147437984295,-9.772873971357386,0.716713921912818,47.913876290613025,538.5929250380968,232.41239189236072,401.81142412181555,243.236671841511,280.342682441568,163.490795985572,272.0178953853318,181.29944416383648,194.8061186791757,110.330262189222,131.1922687155594,84.74994995698255,-3.426535423258584,0.026579087971945962,-0.593335124362136,0.3651685329804883,-0.3637133958877282,0.2332075904303068,-0.4201929349042425,-0.5707144562623775,-0.6840470799772992,-0.5661672877747945,-0.3460814227023265,-0.4492097713705978,-0.4087634369910536,21.322003597388232,-1.5034960214930324,0.4217952693750142,0.5857177038570609,0.5276532966335985,0.5211177309530104,1.8655813692480576,0.5066541313253499,0.7317133979084902,0.37708263278243015,0.8149453401422284,0.16934429723142097,0.7075314339270027,0.024139825254678726,0.18674631416797638,0.0,0.03037092462182045,1936.129200967046,6710.528975137215,0.0,1199.2546481325853,1885.7374133246708,3578.209480169462,0.0,870.800234303929,0.018382783979177475,1.0000007152557373,4.145925231568981e-06,0.08585790544748306,0.08554370041602168,0.57421875,0.0,0.08450365979866635,-48.38962173461914,-14.574958801269531,-94.57495880126953,22.73151397705078
223,223_2.26.20_S_SC_Chunk_4,82.5884126984127,63.0,19.588412698412696,0.7628188742415536,8.25884126984127,12.6,3.917682539682539,224,180,44,0.8035714285714286,2.7122448861921904,2.857142857142857,2.2462259029066423,10,5,5,235,26,4,5,47,63,0.7,227.27,44,220.5,80,413,208,241,speaking passionately,14.188852044692737,19.089709436687553,-8.306004009839809,-7.348176491652895,3.2866926704764237,-12.774334895659669,-6.256195788826069,-5.762152494471196,-12.943292269880786,-3.451001050413226,-1.5434433102800358,4.043415204577351,-4.016657367060737,13.815886213287202,207.92029475025998,174.07797146524135,471.8471773669087,401.2796419740591,346.92359025582937,650.426820541988,451.09219645163654,262.8953087172303,189.28400617535507,179.39416666428792,215.91032334265228,238.06933781330025,-1.013415625825417,-1.0882793262522974,0.21108199137159508,0.39508241164182833,0.05591968888878951,-0.37158741674664786,0.5380523224667522,-0.044067888989556,-0.19436989597276677,0.16572919791811827,0.021827819307118263,0.08943242606496854,-0.4655466208968571,0.03397296568933994,0.31123815636660934,-0.3495255507145987,-0.530722748825442,-0.6167453477423721,0.18386190508856837,-0.18842695647450425,-0.12633842901181236,-0.0470083649002313,0.1197840978578526,0.11483765847219152,-0.2563856211408968,0.19555600867867806,0.03883466497063637,0.20875848829746246,0.00029264346812851727,0.03310941159725189,1249.8883961718996,5360.866777565505,176.428108104797,743.7024243570111,1230.7579884982465,3029.949403990069,425.98375655273384,515.5546742407322,0.0005992721999064088,0.016248900443315506,4.200863088499318e-07,0.0016705408925190568,0.07527375414517318,0.5087890625,0.0068359375,0.06317690086073913,-34.41436004638672,-13.60711669921875,-70.67322540283203,13.830812454223633
346,346_11.3.21_Chunk_0,46.0,33.0,13.0,0.717391304347826,6.571428571428571,11.0,3.25,119,96,23,0.8067226890756303,2.5869565217391304,2.909090909090909,1.7692307692307692,7,3,4,110,11,3,4,25.3,33,0.8,251.39,53.34,239.9,102,419,214,280,,13.136356368297765,11.547924344365878,-22.58064640385076,7.280992321428766,-7.255361301609422,-6.563437623212927,-3.590642835735187,-3.158095073564434,-14.019858977723837,-13.173385364693521,6.720560814446935,-9.34160433532962,-6.388485206919491,98.29945607754108,430.49264970036137,320.04683893989665,554.3617163257674,392.61343443605176,281.3617538669107,282.5032565409264,279.8262494091608,257.59259619175,190.45486800797323,187.00875691341108,141.27774102453512,83.98238919352083,-4.021885865135752,-0.6211250119816676,0.13681316243132952,0.46925624012642864,0.03495828958652539,-0.2885290512870104,-0.17553293279073762,0.08855336190731918,-0.16058801623407673,-0.42796063918198285,-0.08298197677741706,0.07868773613835917,-0.06967856640489827,17.071905090885362,-0.7374066030690267,-0.5743447900182499,-0.19447809980293096,-0.04936564069027227,0.024085677836728436,0.31825307921430435,0.0005065472088285894,-0.3871461432529939,0.5431465034342748,0.05924034365177411,-0.11406234503457613,-0.13721625727783415,0.03923093527555466,0.17243672907352448,0.0,0.03461742028594017,2151.0747039459106,9906.525463411703,0.0,1422.1294188460145,1713.5371821822432,3719.663237508289,0.0,717.5757025528881,0.03598068654537201,1.0000007152557373,3.2378068226535106e-06,0.15570195019245148,0.12731504373241911,0.6591796875,0.0,0.1184002855668511,-37.02358627319336,-15.267404556274414,-95.26740264892578,19.21225929260254
220,220_2.19.20_S_SC_Chunk_2,65.0,53.0,12.0,0.8153846153846154,10.833333333333334,17.666666666666668,4.0,221,185,36,0.8371040723981901,3.4,3.490566037735849,3.0,6,3,3,220,18,4,5,41,53,0.8,243.89,55.73,244.2,80,411,225,269,speaking passionately,14.516506837178913,15.842943729661254,-8.893888116810999,-1.7035153205509754,-0.3993074474699998,-5.048665063069871,-4.400023720515287,-15.134709765594472,-10.450601268011386,-8.386989936543632,-3.1129717851389787,2.359415921209956,-0.2551784738022801,10.58916771536362,248.70375612632583,178.17638841169605,520.656882434041,465.7579015216747,283.5792035467832,543.0617712397614,502.597763380698,289.5842941845957,227.85075118506683,209.51500173609242,241.53690364970294,174.4836354334459,-0.9643846637602145,-0.9630548567678358,0.2527440867016595,0.25500151991768105,0.1321458374162825,-0.25269820606300436,0.09264105244417747,0.03839442193615244,0.1582248853274723,-0.05264880377213017,0.136254521190557,0.2587211956094981,-0.03812367593822837,0.3613757899099763,0.25465158355215944,-0.4436447832549417,-0.604861063418987,-0.4796136420309556,-0.005652694193420071,-0.3028037455577137,-0.36924178929120766,0.2408456183328882,-0.2680356384988509,0.1627245276835585,-0.046506247091056,0.18671330769942385,0.037535160779953,0.19593743979930878,0.000302776723401621,0.03261353448033333,1458.9954772899923,6422.711771488419,295.74139522582607,893.2597771976652,1426.4456397236654,3476.934101190223,439.1355555228885,654.6397124845038,0.0020535581279546022,0.06862658262252808,9.131301794695901e-07,0.006004559341818094,0.08320671813403417,0.57421875,0.0,0.06367010842045243,-34.14354705810547,-14.157651901245117,-70.37754821777344,12.961853981018066
340,340_11.2.21_Chunk_0,60.0,40.0,20.0,0.6666666666666666,6.0,8.0,4.0,134,107,27,0.7985074626865671,2.2333333333333334,2.675,1.35,10,5,5,152,23,3,5,32.5,46,0.7,244.19,44.65,238,81,414,215,269,speaking passionately,13.85735210626408,11.758980875371652,-19.25478838259613,6.141637941751975,-4.539170397987295,-3.2955795889262514,-9.447398225328477,-11.727800833484197,-7.408058908072444,-3.551207586907931,5.245204333462357,-6.306271029358104,-4.229266036526849,39.89579527504152,368.2834917411021,352.90798129082214,475.96032547444986,394.23434286999714,325.8650084869534,312.6655829754372,228.58809784522796,237.3593159926798,252.54859011197888,189.47214041797386,213.4625010774089,144.90866102523222,-4.2645759132413446,-0.7962541279880576,0.40352747621729257,0.2847870964932571,0.09551193716002467,-0.16402906941524104,-0.1797959162820164,-0.22774022169004435,-0.11199242379050008,0.23666505297869622,0.29207716544794116,0.0825551473842392,-0.27337653760360725,29.702353066280182,-0.41440181972495216,-0.540897073199321,-0.1431224870449408,0.1515782662968812,0.3611100765717419,-0.2506414931942076,-0.08307380351845106,0.01669102381394172,0.5894445973059215,0.04456821252232146,0.12430137386219453,-0.08244303704948486,0.040834471583366394,0.1948198825120926,0.0,0.03847029432654381,1941.5731468304848,7760.521175210232,0.0,1250.3508699051965,1714.4904825032197,3958.435292846243,0.0,695.6504686534709,0.01161982025951147,1.0000007152557373,2.3127440726966597e-06,0.06594917923212051,0.11116725332681635,0.70068359375,0.0,0.1049315626933712,-37.10309982299805,-14.207334518432617,-94.20733642578125,18.568077087402344
321,321_10.15.21_Chunk_2,52.0,25.0,27.0,0.4807692307692308,5.777777777777778,6.25,5.4,125,88,37,0.704,2.4038461538461537,3.52,1.3703703703703705,9,4,5,96,16,3,5,19.1,35,0.5,223.95,45.22,219.5,81,389,198,248,Reading,9.09705738013957,7.374473862088577,-11.643009960951055,11.530188992037813,-5.720487143302508,-0.0665336188670248,-7.792600808304662,-11.46721451893012,-8.654195690790072,-7.882120120657116,3.3946703176078876,-10.697835054995936,-2.2343051695885503,179.665809443731,410.03351077126166,387.0841364207177,507.81303095485373,432.72266233623714,254.57394832752686,312.18460603032065,230.42256024089812,199.40340522455728,149.24683889213358,147.3902813787718,167.94745901069888,105.49998715945034,-2.7913819171236818,-0.3386570312739953,-0.23291721053310102,0.10553187508956631,-0.15849285151808237,-0.3505586331130903,-0.10302921192275988,-0.301766254649425,-0.3567469794126349,-0.5161496241192299,0.11610059811460623,-0.16482903037298038,-0.3622954532321823,6.671734311737897,-0.9084491312286556,-0.49172062035920394,-0.21213309705331262,-0.038510683704267024,0.8715693746255493,-0.0587460223075289,0.37952386295474616,0.15160503636897493,0.412214921288208,0.4800079804939963,0.08750824160339787,0.5191737481267147,0.01859624683856964,0.12800614535808563,0.0,0.021861692890524864,1936.7053091678745,9942.181183091738,0.0,1528.5245834421473,1722.053234715013,4008.2058861107307,0.0,830.2238832109035,0.06506279110908508,1.0000007152557373,2.373987626924645e-06,0.2263830006122589,0.11788300936671088,0.66845703125,0.0,0.1298472635712704,-46.83781433105469,-17.855382919311523,-97.85538482666016,20.93968391418457
211,211_1.31.20_S_SC_Chunk_1,66.0,42.0,24.0,0.6363636363636364,6.0,8.4,4.0,186,101,85,0.543010752688172,2.8181818181818183,2.4047619047619047,3.5416666666666665,11,5,6,148,12,4,6,26.8,42,0.6,207.65,40.99,204.9,84,420,186,229,Reading,14.124285858356064,8.284985220305815,-9.74966732245544,5.118998188803079,1.4566947809104445,-1.04216085645185,3.695161401195212,-13.327114772186505,-3.0948891484595165,-4.427752393039333,-1.1110930787652677,-1.6001996076965586,0.7840714132114314,14.951924278880501,366.20377947842,185.50504087169787,537.1016605747026,376.2179740731238,318.43075524402553,561.3501455452372,457.9447542461198,254.77984596616474,258.4397155111052,179.59994073246517,160.4416358814239,172.78049016127335,-0.8085987942482669,-0.7447064524003242,0.3556080794556203,-0.05347322936275517,0.030964527640430926,-0.4310997846491516,0.012009558780858375,-0.207757841305981,-0.18539932772312315,-0.24557742575677488,-0.30804441934161103,-0.017327346008547306,-0.48967389976253706,-0.6013683646952281,-0.3126575074007807,-0.45960040594155505,-0.6391430673786771,-0.7021105477283691,0.23200477228586847,-0.5587756076142538,-0.15474611293578766,0.09680506688413137,-0.06848772800949199,0.2579432330018059,0.1335736352119281,0.14438954424860828,0.033959660679101944,0.19104982912540436,0.0002771293802652508,0.033861033618450165,1878.719484416783,6883.778665044369,231.6544700793375,1468.026704649948,1652.8996525480875,3571.3339240135374,459.07011168362885,667.0057473114194,0.006544478703290224,0.11725515872240067,5.380642846830597e-07,0.016241002827882767,0.11234760442578773,0.62646484375,0.0,0.12631335312792058,-36.891868591308594,-14.377067565917969,-71.14634704589844,14.176549911499023
342,342_11.2.21_Chunk_3,59.0,36.0,23.0,0.6101694915254238,9.833333333333334,12.0,7.666666666666667,169,110,59,0.650887573964497,2.864406779661017,3.0555555555555554,2.5652173913043477,6,3,3,130,14,4,5,26.5,36,0.7,240.46,49.79,242.5,77,403,209,274,speaking passionately,13.404186382198004,13.377918805983546,-17.008624083189297,4.562186940077916,-7.751344726603785,-4.659361362679551,-10.468667096415462,-13.745630672196697,-6.768049833096967,-6.024091620904343,0.26489282843754525,-6.573604555545386,-2.9057284997224566,50.35351920497393,389.6093330234701,314.88183316641823,449.8751560683488,388.6205721901732,309.24286064472585,255.20147143509905,261.90848008236,199.9719320777006,239.47201246116984,139.73931972699992,179.33416615400245,100.89234428618799,-4.413981797139812,-0.6562438175223049,0.22945687166910275,0.2925753513897457,-0.2964364368874754,-0.024417254509879527,-0.004920450390128045,-0.26803624351724475,-0.07748020474738428,-0.029403602628085376,0.06404436502303894,0.03411485564267229,-0.2425244464240885,27.431865891402293,-0.7190079973287258,-0.6598902749243409,-0.1687622785255578,-0.1341598100375534,0.1644146555526893,-0.2831238343243281,-0.22348007798716374,-0.03730346821761543,0.7927974347698843,0.20801283762238487,0.19727622019708413,0.0946510241801728,0.037297774106264114,0.15031084418296814,0.0,0.03352547809481621,1819.0477142226182,7722.2280628388025,0.0,1134.245795188601,1679.3986234810038,3919.7398998015556,0.0,739.5405781495235,0.013152177445590496,1.0000007152557373,3.4781360227498226e-06,0.08105137199163437,0.10269269322211476,0.74072265625,0.0,0.09286450620767735,-37.97923278808594,-16.460193634033203,-96.46018981933594,18.879289627075195
344,344_11.3.21_Chunk_3,65.0,18.0,47.0,0.27692307692307694,8.125,4.5,11.75,163,50,113,0.3067484662576687,2.5076923076923077,2.7777777777777777,2.404255319148936,8,4,4,60,5,3,5,11.7,18,0.7,242.83,36.34,235,81,412,224,249,speaking passionately,11.157075120130688,9.867841773902565,-5.670461593643795,6.930659440297152,-12.26175146930825,-3.884520038934357,-10.117816935659615,-17.34904191739018,-7.7222073065275305,-1.2719874909808737,3.928703645886753,-9.09082855926526,0.04634754234383936,64.89527072502143,432.50116373065936,320.7558836511501,387.82889985352637,338.3229843871742,198.7701015506181,274.2200591052433,270.36453319494433,183.62603821041367,190.1601773801299,200.63965324522002,156.17566126035675,77.46075007105262,-4.10463489427407,-0.29626360080625785,-0.7079798815893756,0.2846731564558265,-0.6885322804102967,-0.23832240349714506,-0.24775684701580042,-0.4860993344726954,-0.41729074002215216,0.28739506949238786,0.21661627657707608,-0.5177005064379845,0.029468778751628084,21.371317820597096,-1.2444301987365276,0.4389315038633761,0.05722953523527119,0.8603143333739176,0.3015175990926875,0.6512278455102316,-0.21892917900379683,0.4297146024431848,0.331543450344137,0.10532145684702643,0.8891727699162715,0.5321748049509112,0.020808503031730652,0.11279258131980896,0.0,0.02148454263806343,1718.1481939974371,9376.064951107755,0.0,1285.2599517992983,1733.4218018530676,3826.606596078127,0.0,843.6790788442105,0.017466705292463303,1.0000007152557373,1.2055279512424022e-06,0.09910881519317627,0.09290054163981959,0.60546875,0.0,0.09719995203210405,-45.541988372802734,-18.954389572143555,-98.95439147949219,20.122957229614258
341,341_11.2.21_Chunk_1,69.0,28.0,41.0,0.4057971014492754,7.666666666666667,5.6,10.25,190,158,32,0.8315789473684211,2.753623188405797,5.642857142857143,0.7804878048780488,9,5,4,182,29,3,5,40.1,59,0.7,238.18,50,227.9,82,421,207,266,speaking passionately,12.383891339588983,10.480544318522528,-19.762628775652836,9.895569284466026,-5.358863256317777,-4.911002008172515,-7.844904039564592,-12.06918991701595,-10.056382453570654,-3.8522917854715146,8.719354943261646,-10.84516217598458,-7.798054731367332,98.22854635411609,375.54681573132467,340.9960007868646,465.47377785121535,410.8875573760338,265.0203419000803,258.76798431144005,213.2045863279419,230.49849796734745,192.80909621457678,249.4356410419962,234.93522842502384,148.8813844634951,-3.9077686044954167,-0.6565271773820643,0.33431718629350066,-0.05886980348527708,-0.18284840054681115,-0.06584445418961044,-0.010088716032942428,-0.1385765839634599,-0.1972452677085705,-0.22526272248090748,0.19467747345065675,0.02726066816639742,-0.15112251276770303,16.29422837174165,-0.45928621500567424,-0.4413075819251726,-0.2606345040742357,0.03432077977240766,0.7684059420579095,0.22987645058843498,0.09980725108712285,0.44986123323429483,0.40326000733977496,0.6608817820670585,0.07519829909092657,-0.1314015333333236,0.031245412304997444,0.17903082072734833,0.0,0.02951427362859249,2034.854781827093,8158.665129177974,0.0,1384.5437271358574,1726.5347495242797,3794.4964992135606,0.0,677.2013515773984,0.032995112240314484,1.0000007152557373,1.906607394630555e-06,0.1554623693227768,0.11907701968959071,0.7802734375,0.0,0.12281170817207503,-39.77164840698242,-14.94144344329834,-94.94144439697266,19.104768753051758
