speaker_id,line_num,sent_num,token_num,pos_tuple,pos,token_str,term_str,term_id
201,5,3,15,"('then', 'RB')",RB,then,then,1655
201,5,3,16,"('we', 'PRP')",PRP,we,we,1827
201,5,3,17,"('can', 'MD')",MD,can,can,236
201,5,3,19,"('um', 'RB')",RB,um,um,1755
201,5,3,21,"('the', 'DT')",DT,the,the,1650
201,5,3,22,"('others', 'NNS')",NNS,others,others,1129
201,5,3,23,"('can', 'MD')",MD,can,can,236
201,5,3,24,"('share', 'NN')",NN,share,share,1439
201,5,3,25,"('and', 'CC')",CC,and,and,71
201,5,3,26,"('listen', 'NN')",NN,listen,listen,920
201,5,4,0,"('Nina', 'NNP')",NNP,Nina,nina,1070
201,5,4,1,"('up', 'RB')",RB,up,up,1774
201,5,4,2,"('here', 'RB')",RB,here,here,729
201,5,4,3,"('please', 'NN')",NN,please,please,1204
201,5,5,0,"('Okay', 'NNP')",NNP,Okay,okay,1102
201,5,5,2,"('thank', 'NN')",NN,thank,thank,1645
201,5,5,3,"('you', 'PRP')",PRP,you,you,1913
201,5,6,0,"('Our', 'PRP$')",PRP$,Our,our,1130
201,5,6,1,"('second', 'JJ')",JJ,second,second,1417
201,5,6,2,"('expec', 'NN')",NN,expec,expec,541
201,5,6,4,"('uh', 'UH')",UH,uh,uh,1753
201,5,6,6,"('expectation', 'NN')",NN,expectation,expectation,543
201,5,6,7,"('is', 'VBZ')",VBZ,is,is,831
201,5,6,8,"('to', 'TO')",TO,to,to,1694
201,5,6,9,"('be', 'VB')",VB,be,be,146
201,5,6,10,"('active', 'JJ')",JJ,active,active,23
201,5,6,11,"('listeners', 'NNS')",NNS,listeners,listeners,923
201,5,7,0,"('So', 'RB')",RB,So,so,1494
201,5,7,1,"('when', 'WRB')",WRB,when,when,1844
201,5,7,2,"('we', 'PRP')",PRP,we,we,1827
201,5,7,3,"(""'re"", 'VBP')",VBP,'re,re,1276
201,5,7,4,"('listening', 'VBG')",VBG,listening,listening,924
201,5,7,5,"('to', 'TO')",TO,to,to,1694
201,5,7,6,"('others', 'NNS')",NNS,others,others,1129
201,5,7,8,"('we', 'PRP')",PRP,we,we,1827
201,5,7,9,"('should', 'MD')",MD,should,should,1448
201,5,7,10,"('be', 'VB')",VB,be,be,146
201,5,7,11,"('using', 'VBG')",VBG,using,using,1784
201,5,7,12,"('our', 'PRP$')",PRP$,our,our,1130
201,5,7,13,"('ears', 'NNS')",NNS,ears,ears,474
201,5,7,14,"('and', 'CC')",CC,and,and,71
201,5,7,15,"('listening', 'VBG')",VBG,listening,listening,924
201,5,7,16,"('and', 'CC')",CC,and,and,71
201,5,7,17,"('engaging', 'VBG')",VBG,engaging,engaging,502
201,5,7,18,"('to', 'TO')",TO,to,to,1694
201,5,7,19,"('what', 'WP')",WP,what,what,1841
201,5,7,20,"('others', 'NNS')",NNS,others,others,1129
201,5,7,21,"('are', 'VBP')",VBP,are,are,99
201,5,7,22,"('saying', 'VBG')",VBG,saying,saying,1394
201,5,8,0,"('Just', 'RB')",RB,Just,just,858
201,5,8,1,"('how', 'WRB')",WRB,how,how,761
201,5,8,2,"('if', 'IN')",IN,if,if,776
201,5,8,3,"('someone', 'NN')",NN,someone,someone,1504
201,5,8,4,"('is', 'VBZ')",VBZ,is,is,831
201,5,8,5,"('sharing', 'VBG')",VBG,sharing,sharing,1441
201,5,8,7,"('you', 'PRP')",PRP,you,you,1913
201,5,8,8,"(""'d"", 'MD')",MD,'d,d,386
201,5,8,9,"('want', 'VB')",VB,want,want,1815
201,5,8,10,"('them', 'PRP')",PRP,them,them,1653
201,5,8,11,"('to', 'TO')",TO,to,to,1694
201,5,8,12,"('be', 'VB')",VB,be,be,146
201,5,8,13,"('respectful', 'JJ')",JJ,respectful,respectful,1338
201,5,8,14,"('to', 'TO')",TO,to,to,1694
201,5,8,15,"('yours', 'NNS')",NNS,yours,yours,1917
201,5,8,17,"('which', 'WDT')",WDT,which,which,1850
201,5,8,18,"('goes', 'VBZ')",VBZ,goes,goes,665
201,5,8,19,"('into', 'IN')",IN,into,into,820
201,5,8,20,"('our', 'PRP$')",PRP$,our,our,1130
201,5,8,21,"('last', 'JJ')",JJ,last,last,884
201,5,8,22,"('expectation', 'NN')",NN,expectation,expectation,543
201,5,8,23,"('is', 'VBZ')",VBZ,is,is,831
201,5,8,24,"('to', 'TO')",TO,to,to,1694
201,5,8,25,"('be', 'VB')",VB,be,be,146
201,5,8,26,"('respectful', 'JJ')",JJ,respectful,respectful,1338
201,5,8,28,"('respectful', 'JJ')",JJ,respectful,respectful,1338
201,5,8,29,"('to', 'TO')",TO,to,to,1694
201,5,8,30,"('others', 'NNS')",NNS,others,others,1129
201,5,8,32,"('and', 'CC')",CC,and,and,71
201,5,8,33,"('to', 'TO')",TO,to,to,1694
201,5,8,34,"('yourself', 'PRP')",PRP,yourself,yourself,1918
201,5,8,35,"('and', 'CC')",CC,and,and,71
201,5,8,36,"('to', 'TO')",TO,to,to,1694
201,5,8,37,"('me', 'PRP')",PRP,me,me,975
201,5,8,38,"('when', 'WRB')",WRB,when,when,1844
201,5,8,39,"('in', 'IN')",IN,in,in,785
201,5,8,40,"('small', 'JJ')",JJ,small,small,1488
201,5,8,41,"('group', 'NN')",NN,group,group,682
201,5,9,0,"('So', 'RB')",RB,So,so,1494
201,5,9,1,"('do', 'VB')",VB,do,do,444
201,5,9,2,"('you', 'PRP')",PRP,you,you,1913
201,5,9,3,"('guys', 'NNS')",NNS,guys,guys,690
201,5,9,4,"('have', 'VBP')",VBP,have,have,713
201,5,9,5,"('any', 'DT')",DT,any,any,85
201,5,9,6,"('questions', 'NNS')",NNS,questions,questions,1263
201,5,9,7,"('about', 'IN')",IN,about,about,11
201,5,9,8,"('any', 'DT')",DT,any,any,85
201,5,9,9,"('expectations', 'NNS')",NNS,expectations,expectations,544
201,5,9,10,"('or', 'CC')",CC,or,or,1121
201,5,9,11,"('if', 'IN')",IN,if,if,776
201,5,9,12,"('you', 'PRP')",PRP,you,you,1913
201,5,9,13,"('wan', 'VBP')",VBP,wan,wan,1814
201,5,9,14,"('na', 'JJ')",JJ,na,na,1042
201,5,9,15,"('add', 'VB')",VB,add,add,28
201,5,9,16,"('any', 'DT')",DT,any,any,85
201,5,9,17,"('more', 'JJR')",JJR,more,more,1020
201,5,9,18,"('expectations', 'NNS')",NNS,expectations,expectations,544
201,5,9,19,"('we', 'PRP')",PRP,we,we,1827
201,5,9,20,"('should', 'MD')",MD,should,should,1448
201,5,9,21,"('have', 'VB')",VB,have,have,713
201,5,9,22,"('for', 'IN')",IN,for,for,617
201,5,9,23,"('a', 'DT')",DT,a,a,6
201,5,9,24,"('small', 'JJ')",JJ,small,small,1488
201,5,9,25,"('group', 'NN')",NN,group,group,682
201,5,10,0,"('Emily', 'RB')",RB,Emily,emily,496
201,5,10,2,"('is', 'VBZ')",VBZ,is,is,831
201,5,10,3,"('everything', 'NN')",NN,everything,everything,528
201,5,10,4,"('alright', 'NN')",NN,alright,alright,60
201,6,0,0,"('Yeah', 'UH')",UH,Yeah,yeah,1903
201,6,0,2,"('I', 'PRP')",PRP,I,i,772
201,6,0,3,"('got', 'VBD')",VBD,got,got,673
201,6,0,4,"('text', 'RB')",RB,text,text,1639
201,6,0,5,"('from', 'IN')",IN,from,from,635
201,6,0,6,"('my', 'PRP$')",PRP$,my,my,1040
201,6,0,7,"('mom', 'NN')",NN,mom,mom,1018
201,6,1,0,"('Um', 'NNP')",NNP,Um,um,1755
201,6,1,2,"('I', 'PRP')",PRP,I,i,772
201,6,1,3,"('have', 'VBP')",VBP,have,have,713
201,6,1,5,"('um', 'JJ')",JJ,um,um,1755
201,6,1,7,"('sorry', 'JJ')",JJ,sorry,sorry,1511
201,6,1,8,"('Emily', 'RB')",RB,Emily,emily,496
201,6,1,10,"('but', 'CC')",CC,but,but,224
201,6,1,11,"('I', 'PRP')",PRP,I,i,772
201,6,1,12,"('have', 'VBP')",VBP,have,have,713
201,6,1,13,"('a', 'DT')",DT,a,a,6
201,6,1,14,"('lot', 'NN')",NN,lot,lot,939
201,6,1,15,"('of', 'IN')",IN,of,of,1093
201,6,1,16,"('ideas', 'NNS')",NNS,ideas,ideas,775
201,6,1,17,"('about', 'IN')",IN,about,about,11
201,6,1,19,"('um', 'JJ')",JJ,um,um,1755
201,6,1,21,"('classrooms', 'NNS')",NNS,classrooms,classrooms,288
201,6,1,22,"('that', 'IN')",IN,that,that,1648
201,6,1,23,"('we', 'PRP')",PRP,we,we,1827
201,6,1,24,"('could', 'MD')",MD,could,could,356
201,6,1,26,"('um', 'RB')",RB,um,um,1755
201,6,1,28,"('you', 'PRP')",PRP,you,you,1913
201,6,1,29,"('do', 'VBP')",VBP,do,do,444
201,6,1,30,"('for', 'IN')",IN,for,for,617
201,6,1,31,"('once', 'RB')",RB,once,once,1106
201,6,1,32,"('now', 'RB')",RB,now,now,1090
201,6,1,33,"('overnight', 'IN')",IN,overnight,overnight,1140
201,6,1,34,"('we', 'PRP')",PRP,we,we,1827
201,6,1,35,"('can', 'MD')",MD,can,can,236
201,6,1,36,"('change', 'VB')",VB,change,change,259
201,6,1,37,"('em', 'VB')",VB,em,em,492
201,6,1,38,"('up', 'RP')",RP,up,up,1774
201,7,0,0,"('Okay', 'NNP')",NNP,Okay,okay,1102
201,7,1,0,"('Um', 'NNP')",NNP,Um,um,1755
201,7,1,2,"('Emily', 'NNP')",NNP,Emily,emily,496
201,7,1,4,"('um', 'NN')",NN,um,um,1755
201,7,1,6,"('after', 'IN')",IN,after,after,38
201,7,1,7,"('small', 'JJ')",JJ,small,small,1488
201,7,1,8,"('group', 'NN')",NN,group,group,682
201,7,1,10,"('we', 'PRP')",PRP,we,we,1827
201,7,1,11,"('can', 'MD')",MD,can,can,236
201,7,1,12,"('talk', 'VB')",VB,talk,talk,1610
201,7,1,13,"('about', 'IN')",IN,about,about,11
201,7,1,15,"('um', 'JJ')",JJ,um,um,1755
201,7,1,17,"('whatever', 'WDT')",WDT,whatever,whatever,1843
201,7,1,18,"(""'s"", 'VBZ')",VBZ,'s,s,1382
201,7,1,19,"('going', 'VBG')",VBG,going,going,667
201,7,1,20,"('on', 'IN')",IN,on,on,1105
201,7,1,21,"('with', 'IN')",IN,with,with,1867
201,7,1,22,"('you', 'PRP')",PRP,you,you,1913
201,7,2,0,"('Um', 'NNP')",NNP,Um,um,1755
201,7,2,2,"('if', 'IN')",IN,if,if,776
201,7,2,3,"('that', 'DT')",DT,that,that,1648
201,7,2,4,"(""'s"", 'VBZ')",VBZ,'s,s,1382
201,7,2,5,"('all', 'DT')",DT,all,all,52
201,8,0,0,"('Sorry', 'NNP')",NNP,Sorry,sorry,1511
201,9,0,0,"('No', 'DT')",DT,No,no,1071
201,9,0,1,"('worries', 'NNS')",NNS,worries,worries,1888
201,9,1,0,"('Yeah', 'UH')",UH,Yeah,yeah,1903
201,9,1,2,"('we', 'PRP')",PRP,we,we,1827
201,9,1,3,"('can', 'MD')",MD,can,can,236
201,9,1,4,"('talk', 'VB')",VB,talk,talk,1610
201,9,1,5,"('about', 'IN')",IN,about,about,11
201,9,1,6,"('it', 'PRP')",PRP,it,it,836
201,9,2,0,"('Um', 'NNP')",NNP,Um,um,1755
201,9,2,2,"('Carlos', 'NNP')",NNP,Carlos,carlos,246
201,9,2,4,"('did', 'VBD')",VBD,did,did,416
201,9,2,5,"('you', 'PRP')",PRP,you,you,1913
201,9,2,6,"('have', 'VBP')",VBP,have,have,713
201,9,2,7,"('any', 'DT')",DT,any,any,85
201,9,2,8,"('ideas', 'NNS')",NNS,ideas,ideas,775
201,9,3,0,"('You', 'PRP')",PRP,You,you,1913
201,9,3,1,"(""'re"", 'VBP')",VBP,'re,re,1276
201,9,3,2,"('trouble', 'NN')",NN,trouble,trouble,1733
201,9,3,4,"('Nina', 'NNP')",NNP,Nina,nina,1070
201,10,0,0,"('You', 'PRP')",PRP,You,you,1913
201,11,0,0,"('Um', 'NNP')",NNP,Um,um,1755
201,11,0,2,"('so', 'RB')",RB,so,so,1494
201,11,0,3,"('Carlos', 'NNP')",NNP,Carlos,carlos,246
201,11,0,4,"('wants', 'VBZ')",VBZ,wants,wants,1818
201,11,0,5,"('to', 'TO')",TO,to,to,1694
201,11,0,6,"('share', 'NN')",NN,share,share,1439
201,11,0,7,"('and', 'CC')",CC,and,and,71
201,11,0,8,"('one', 'CD')",CD,one,one,1107
201,11,0,9,"('of', 'IN')",IN,of,of,1093
201,11,0,10,"('our', 'PRP$')",PRP$,our,our,1130
201,11,0,11,"('ex', 'NN')",NN,ex,ex,529
201,11,0,12,"('uh', 'NN')",NN,uh,uh,1753
201,11,0,14,"('expectation', 'NN')",NN,expectation,expectation,543
201,11,0,15,"('is', 'VBZ')",VBZ,is,is,831
201,11,0,16,"('to', 'TO')",TO,to,to,1694
201,11,0,17,"('be', 'VB')",VB,be,be,146
201,11,0,18,"('active', 'JJ')",JJ,active,active,23
201,11,0,19,"('listeners', 'NNS')",NNS,listeners,listeners,923
201,11,1,0,"('So', 'RB')",RB,So,so,1494
201,11,1,1,"('when', 'WRB')",WRB,when,when,1844
201,11,1,2,"('others', 'NNS')",NNS,others,others,1129
201,11,1,3,"('are', 'VBP')",VBP,are,are,99
201,11,1,4,"('talking', 'VBG')",VBG,talking,talking,1612
201,11,1,6,"('we', 'PRP')",PRP,we,we,1827
201,11,1,7,"('wan', 'VBP')",VBP,wan,wan,1814
201,11,1,8,"('na', 'JJ')",JJ,na,na,1042
201,11,1,9,"('hear', 'VBP')",VBP,hear,hear,719
201,11,1,10,"('what', 'WP')",WP,what,what,1841
201,11,1,11,"('they', 'PRP')",PRP,they,they,1658
201,11,1,12,"('have', 'VBP')",VBP,have,have,713
201,11,1,13,"('to', 'TO')",TO,to,to,1694
201,11,1,14,"('say', 'VB')",VB,say,say,1393
201,11,1,15,"('all', 'DT')",DT,all,all,52
201,11,1,16,"('after', 'IN')",IN,after,after,38
201,11,1,17,"('class', 'NN')",NN,class,class,282
201,11,2,0,"('You', 'PRP')",PRP,You,you,1913
201,11,2,1,"('guys', 'VBP')",VBP,guys,guys,690
201,11,2,2,"('can', 'MD')",MD,can,can,236
201,11,2,3,"('talk', 'VB')",VB,talk,talk,1610
201,11,2,4,"('about', 'IN')",IN,about,about,11
201,11,2,5,"('that', 'DT')",DT,that,that,1648
201,11,2,6,"('all', 'DT')",DT,all,all,52
201,11,3,0,"('Hi', 'NNP')",NNP,Hi,hi,732
201,11,3,1,"('Carlos', 'NNP')",NNP,Carlos,carlos,246
201,11,4,0,"('Would', 'MD')",MD,Would,would,1892
201,11,4,1,"('uh', 'VB')",VB,uh,uh,1753
201,11,4,3,"('what', 'WP')",WP,what,what,1841
201,11,4,4,"('would', 'MD')",MD,would,would,1892
201,11,4,5,"('you', 'PRP')",PRP,you,you,1913
201,11,4,6,"('like', 'VB')",VB,like,like,915
201,11,4,7,"('to', 'TO')",TO,to,to,1694
201,11,4,8,"('share', 'NN')",NN,share,share,1439
201,12,0,0,"('Just', 'RB')",RB,Just,just,858
201,12,0,2,"('um', 'JJ')",JJ,um,um,1755
201,12,0,4,"('we', 'PRP')",PRP,we,we,1827
201,12,0,5,"('could', 'MD')",MD,could,could,356
201,12,0,6,"('come', 'VB')",VB,come,come,308
201,12,0,7,"('up', 'RP')",RP,up,up,1774
201,12,0,8,"('with', 'IN')",IN,with,with,1867
201,12,0,9,"('some', 'DT')",DT,some,some,1502
201,12,0,10,"('new', 'JJ')",JJ,new,new,1062
201,12,0,11,"('forms', 'NNS')",NNS,forms,forms,624
201,12,0,12,"('for', 'IN')",IN,for,for,617
201,12,0,13,"('after', 'IN')",IN,after,after,38
201,12,0,14,"('the', 'DT')",DT,the,the,1650
201,12,0,15,"('break', 'NN')",NN,break,break,201
201,12,1,0,"('That', 'DT')",DT,That,that,1648
201,12,1,1,"('one', 'CD')",CD,one,one,1107
201,12,1,2,"('we', 'PRP')",PRP,we,we,1827
201,12,1,3,"('had', 'VBD')",VBD,had,had,693
201,12,1,4,"('before', 'IN')",IN,before,before,153
201,12,1,5,"('break', 'NN')",NN,break,break,201
201,12,1,7,"('but', 'CC')",CC,but,but,224
201,12,1,9,"('um', 'JJ')",JJ,um,um,1755
201,12,1,11,"('yeah', 'UH')",UH,yeah,yeah,1903
201,12,1,13,"('but', 'CC')",CC,but,but,224
201,12,1,14,"('now', 'RB')",RB,now,now,1090
201,12,1,16,"('um', 'JJ')",JJ,um,um,1755
201,12,1,18,"('we', 'PRP')",PRP,we,we,1827
201,12,1,19,"('could', 'MD')",MD,could,could,356
201,12,1,20,"('come', 'VB')",VB,come,come,308
201,12,1,21,"('up', 'RP')",RP,up,up,1774
201,12,1,22,"('with', 'IN')",IN,with,with,1867
201,12,1,23,"('some', 'DT')",DT,some,some,1502
201,12,1,24,"('different', 'JJ')",JJ,different,different,418
201,12,1,25,"('ones', 'NNS')",NNS,ones,ones,1108
201,12,2,0,"('Like', 'IN')",IN,Like,like,915
201,12,2,2,"('like', 'IN')",IN,like,like,915
201,12,2,3,"('could', 'MD')",MD,could,could,356
201,12,2,4,"('we', 'PRP')",PRP,we,we,1827
201,12,2,5,"('get', 'VB')",VB,get,get,653
201,12,2,6,"('up', 'RP')",RP,up,up,1774
201,12,2,7,"('and', 'CC')",CC,and,and,71
201,12,2,8,"('stretch', 'VB')",VB,stretch,stretch,1565
201,12,2,9,"('at', 'IN')",IN,at,at,117
201,12,2,10,"('certain', 'JJ')",JJ,certain,certain,255
201,12,2,11,"('times', 'NNS')",NNS,times,times,1689
201,12,2,12,"('during', 'IN')",IN,during,during,469
201,12,2,13,"('the', 'DT')",DT,the,the,1650
201,12,2,14,"('day', 'NN')",NN,day,day,394
201,12,2,15,"('that', 'IN')",IN,that,that,1648
201,12,2,16,"('copy', 'VBZ')",VBZ,copy,copy,352
201,12,2,17,"('one', 'CD')",CD,one,one,1107
201,12,2,18,"('of', 'IN')",IN,of,of,1093
201,12,2,19,"('our', 'PRP$')",PRP$,our,our,1130
201,12,2,20,"('norms', 'NNS')",NNS,norms,norms,1081
201,13,0,0,"('Oh', 'UH')",UH,Oh,oh,1099
201,13,0,1,"('yeah', 'NN')",NN,yeah,yeah,1903
201,13,1,0,"('That', 'DT')",DT,That,that,1648
201,13,1,1,"(""'s"", 'VBZ')",VBZ,'s,s,1382
201,13,1,2,"('a', 'DT')",DT,a,a,6
201,13,1,3,"('great', 'JJ')",JJ,great,great,680
201,13,1,4,"('idea', 'NN')",NN,idea,idea,774
201,13,2,0,"('I', 'PRP')",PRP,I,i,772
201,13,2,1,"('I', 'PRP')",PRP,I,i,772
201,13,2,2,"('love', 'VBP')",VBP,love,love,941
201,13,2,3,"('an', 'DT')",DT,an,an,70
201,13,2,4,"('idea', 'NN')",NN,idea,idea,774
201,13,2,5,"('of', 'IN')",IN,of,of,1093
201,13,2,6,"('having', 'VBG')",VBG,having,having,714
201,13,2,7,"('like', 'IN')",IN,like,like,915
201,13,2,8,"('a', 'DT')",DT,a,a,6
201,13,2,9,"('brain', 'NN')",NN,brain,brain,199
201,13,2,10,"('break', 'NN')",NN,break,break,201
201,13,2,11,"('and', 'CC')",CC,and,and,71
201,13,2,12,"('stretching', 'NN')",NN,stretching,stretching,1566
201,13,2,13,"('and', 'CC')",CC,and,and,71
201,13,2,14,"('having', 'VBG')",VBG,having,having,714
201,13,2,15,"('our', 'PRP$')",PRP$,our,our,1130
201,13,2,16,"('body', 'NN')",NN,body,body,186
201,13,2,17,"('ready', 'JJ')",JJ,ready,ready,1281
201,13,3,0,"('We', 'PRP')",PRP,We,we,1827
