speaker_id,term_id,n,c,tf,tfidf
201,6,5,1,0.007102272727272727,0.0
201,11,7,1,0.009943181818181818,4.8794519123877004e-05
201,23,5,1,0.007102272727272727,0.006180459947423921
201,28,1,1,0.0014204545454545455,0.0007358327308038714
201,38,4,1,0.005681818181818182,0.001738280284992758
201,52,4,1,0.005681818181818182,5.6083829694853686e-05
201,57,1,1,0.0014204545454545455,0.0014862216188252404
201,60,2,1,0.002840909090909091,0.0013012167977575003
201,70,1,1,0.0014204545454545455,0.0003434940774815006
201,71,18,1,0.02556818181818182,0.0
201,74,2,1,0.002840909090909091,0.005538039791604866
201,85,4,1,0.005681818181818182,0.0007006545678641271
201,88,1,1,0.0014204545454545455,0.00031976439921040307
201,99,7,1,0.009943181818181818,0.0
201,106,1,1,0.0014204545454545455,0.00027487947581309857
201,117,1,1,0.0014204545454545455,0.00012225446949496715
201,146,11,1,0.015625,0.00015423053166084764
201,153,1,1,0.0014204545454545455,0.00044875220321779303
201,154,1,1,0.0014204545454545455,0.0001660242811628927
201,160,1,1,0.0014204545454545455,0.0001660242811628927
201,186,2,1,0.002840909090909091,0.002579537845132636
201,190,2,1,0.002840909090909091,2.8041914847426843e-05
201,199,2,1,0.002840909090909091,0.004182581681605825
201,201,3,1,0.004261363636363636,0.0016243818859854448
201,206,1,1,0.0014204545454545455,0.002769019895802433
201,224,6,1,0.008522727272727272,8.412574454228053e-05
201,233,1,1,0.0014204545454545455,0.0016636914151438482
201,236,13,1,0.018465909090909092,0.00018227244650827448
201,246,4,1,0.005681818181818182,0.00038963871797796266
201,253,1,1,0.0014204545454545455,0.0005250091051535549
201,255,1,1,0.0014204545454545455,0.0020912908408029125
201,259,1,1,0.0014204545454545455,0.0023414204701433686
201,282,2,1,0.002840909090909091,0.00014705373680247547
201,288,1,1,0.0014204545454545455,0.0014862216188252404
201,308,3,1,0.004261363636363636,0.0010671306916572186
201,352,1,1,0.0014204545454545455,0.002769019895802433
201,356,5,1,0.007102272727272727,0.0013743973790654928
201,361,2,1,0.002840909090909091,0.002697130700695775
201,386,1,1,0.0014204545454545455,0.0004632680628508698
201,394,1,1,0.0014204545454545455,0.000541460628661815
201,416,1,1,0.0014204545454545455,0.00013939155955374648
201,418,1,1,0.0014204545454545455,0.0011867139976393126
201,430,1,1,0.0014204545454545455,0.0020912908408029125
201,444,2,1,0.002840909090909091,0.0
201,449,3,1,0.004261363636363636,2.091193676737586e-05
201,469,5,1,0.007102272727272727,0.0033541814767418347
201,471,2,1,0.002840909090909091,0.0004660800330515505
201,474,1,1,0.0014204545454545455,0.0014862216188252404
201,490,1,1,0.0014204545454545455,0.0001660242811628927
201,492,1,1,0.0014204545454545455,0.0013485653503478876
